VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4_1	1773041181248	23.5927	7.10988	-9.47385	0.998315	0.0181669	-0.00206148	0.0550747	img_PX4_1__0_1773041183503622500.png
PX4_2	1773041181350	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041183608342300.png
PX4_3	1773041181443	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041183702087700.png
PX4_4	1773041181539	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041183798103900.png
PX4_1	1773041181614	23.7451	7.10252	-9.47541	0.998195	0.0180433	0.00866971	0.05663	img_PX4_1__0_1773041183876090500.png
PX4_2	1773041181713	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041183979811000.png
PX4_3	1773041181803	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041184068492000.png
PX4_4	1773041181887	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041184154697800.png
PX4_1	1773041181971	23.8701	7.13931	-9.47975	0.998082	0.0147188	0.0167021	0.0577621	img_PX4_1__0_1773041184237468400.png
PX4_2	1773041182070	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041184337385700.png
PX4_3	1773041182148	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041184418930300.png
PX4_4	1773041182229	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041184497431900.png
PX4_1	1773041182298	23.9472	7.2033	-9.48532	0.998016	0.00991758	0.0208841	0.0585681	img_PX4_1__0_1773041184569015400.png
PX4_2	1773041182406	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041184682799600.png
PX4_3	1773041182493	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041184772219300.png
PX4_4	1773041182583	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041184863768400.png
PX4_1	1773041182661	23.9808	7.29533	-9.49181	0.997997	0.00380008	0.0217983	0.0592725	img_PX4_1__0_1773041184945956000.png
PX4_2	1773041182751	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041185038851600.png
PX4_3	1773041182841	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041185130688100.png
PX4_4	1773041182958	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041185254053400.png
PX4_1	1773041183033	23.9572	7.39638	-9.49759	0.998041	-0.00281609	0.0186241	0.0596545	img_PX4_1__0_1773041185334083900.png
PX4_2	1773041183135	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041185438978200.png
PX4_3	1773041183222	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041185527687200.png
PX4_4	1773041183336	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041185645778600.png
PX4_1	1773041183447	23.8735	7.49609	-9.50251	0.998121	-0.00892818	0.0118816	0.0594511	img_PX4_1__0_1773041185758071900.png
PX4_2	1773041183549	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041185862285000.png
PX4_3	1773041183642	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041185957116200.png
PX4_4	1773041183741	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041186057261400.png
PX4_1	1773041183828	23.7624	7.56026	-9.50554	0.998199	-0.0122638	0.00399181	0.0585935	img_PX4_1__0_1773041186146305700.png
PX4_2	1773041183921	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041186244361400.png
PX4_3	1773041184011	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041186334935800.png
PX4_4	1773041184083	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041186409618600.png
PX4_1	1773041184161	23.6569	7.58777	-9.50708	0.998249	-0.0134145	-0.00304675	0.0575379	img_PX4_1__0_1773041186491039400.png
PX4_2	1773041184254	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041186585937200.png
PX4_3	1773041184353	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041186683344800.png
PX4_4	1773041184464	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041186798707200.png
PX4_1	1773041184575	23.5385	7.58278	-9.50804	0.998291	-0.0117821	-0.0105392	0.0562675	img_PX4_1__0_1773041186915086500.png
PX4_2	1773041184686	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041187035437900.png
